session_id,headset_id,participant_count,timestamp_sec,frame_rate_fps,network_latency_ms,calibration_error_mm,battery_temp_c,battery_level,scene_state,source_file
20251208_121556,H_4193,1,50.57,51.4,76.2,0.0,45.0,60,Host,session_20251208_121556_H_4193.csv
20251209_143750,H_4193,2,50.61,72.5,68.2,0.0,39.0,82,Client,session_20251209_143750_H_4193.csv
20251208_000702,H_4193,2,50.63,59.1,83.5,0.0,45.0,57,Client,session_20251208_000702_H_4193.csv
20251208_140440,H_4193,1,50.66,43.2,78.1,0.0,37.0,73,Host,session_20251208_140440_H_4193.csv
20251208_103057,H_4193,2,50.81,22.9,64.3,0.0,35.0,100,Client,session_20251208_103057_H_4193.csv
20251208_004716,H_4193,2,50.82,34.1,83.1,0.0,43.0,60,Client,session_20251208_004716_H_4193.csv
20251209_003711,H_4193,0,50.82,34.3,0.0,0.0,35.0,100,Offline,session_20251209_003711_H_4193.csv
20251209_004435,H_4193,0,50.82,34.2,0.0,0.0,45.0,99,Offline,session_20251209_004435_H_4193.csv
20251208_105026,H_4193,2,50.88,34.5,82.5,0.0,48.0,94,Host,session_20251208_105026_H_4193.csv
20251208_014720,H_4193,1,50.9,29.7,84.3,0.0,46.0,62,Host,session_20251208_014720_H_4193.csv
20251208_103907,H_4193,2,50.9,44.4,66.9,0.0,37.0,100,Client,session_20251208_103907_H_4193.csv
20251208_110401,H_4193,1,50.91,33.8,56.8,0.0,51.0,84,Host,session_20251208_110401_H_4193.csv
20251208_015029,H_4193,1,51.0,24.1,83.9,0.0,50.0,59,Host,session_20251208_015029_H_4193.csv
20251208_010002,H_4193,2,51.09,24.0,88.3,0.0,43.0,61,Client,session_20251208_010002_H_4193.csv
20251207_221239,H_4193,2,51.34,72.6,41.1,0.0,51.0,36,Host,session_20251207_221239_H_4193.csv
20251208_104152,H_4193,1,51.38,33.0,74.2,0.0,44.0,100,Host,session_20251208_104152_H_4193.csv
20251207_213615,H_4193,1,51.44,72.7,55.3,0.0,37.0,66,Host,session_20251207_213615_H_4193.csv
20251207_222644,H_4193,2,51.45,73.8,55.6,0.0,53.0,23,Host,session_20251207_222644_H_4193.csv
20251207_215648,H_4193,2,51.47,71.2,42.5,0.0,50.0,51,Host,session_20251207_215648_H_4193.csv
20251207_223649,H_4193,2,51.47,71.2,56.1,0.0,55.0,13,Host,session_20251207_223649_H_4193.csv
20251208_121204,H_4193,1,51.47,66.1,63.3,0.0,42.0,64,Host,session_20251208_121204_H_4193.csv
20251208_002333,H_4193,2,51.5,63.9,49.8,0.0,43.0,59,Client,session_20251208_002333_H_4193.csv
20251208_121556,H_4193,1,51.58,52.6,77.4,0.0,45.0,60,Host,session_20251208_121556_H_4193.csv
20251209_143750,H_4193,2,51.61,72.2,55.4,0.0,39.0,82,Client,session_20251209_143750_H_4193.csv
20251208_000702,H_4193,2,51.64,62.0,45.1,0.0,45.0,57,Client,session_20251208_000702_H_4193.csv
20251208_140440,H_4193,1,51.67,41.8,64.9,0.0,37.0,73,Host,session_20251208_140440_H_4193.csv
20251209_003711,H_4193,0,51.82,33.6,0.0,0.0,35.0,100,Offline,session_20251209_003711_H_4193.csv
20251208_103057,H_4193,2,51.83,31.8,181.8,0.0,35.0,100,Client,session_20251208_103057_H_4193.csv
20251209_004435,H_4193,0,51.83,34.5,0.0,0.0,45.0,99,Offline,session_20251209_004435_H_4193.csv
20251208_004716,H_4193,2,51.84,32.8,85.4,0.0,43.0,60,Client,session_20251208_004716_H_4193.csv
20251208_105026,H_4193,2,51.88,35.8,85.8,0.0,48.0,94,Host,session_20251208_105026_H_4193.csv
20251208_103907,H_4193,2,51.9,43.8,45.0,0.0,37.0,100,Client,session_20251208_103907_H_4193.csv
20251208_014720,H_4193,1,51.92,25.0,82.7,0.0,46.0,62,Host,session_20251208_014720_H_4193.csv
20251208_110401,H_4193,1,51.93,35.5,64.2,0.0,51.0,84,Host,session_20251208_110401_H_4193.csv
20251208_015029,H_4193,1,52.0,23.9,83.6,0.0,50.0,59,Host,session_20251208_015029_H_4193.csv
20251208_010002,H_4193,2,52.09,24.0,85.6,0.0,43.0,61,Client,session_20251208_010002_H_4193.csv
20251207_221239,H_4193,2,52.34,72.3,55.1,0.0,51.0,36,Host,session_20251207_221239_H_4193.csv
20251208_104152,H_4193,1,52.39,34.3,73.0,0.0,44.0,100,Host,session_20251208_104152_H_4193.csv
20251207_213615,H_4193,1,52.45,72.4,41.2,0.0,37.0,66,Host,session_20251207_213615_H_4193.csv
20251207_222644,H_4193,2,52.46,72.3,41.7,0.0,53.0,23,Host,session_20251207_222644_H_4193.csv
20251207_215648,H_4193,2,52.48,69.4,72.1,0.0,50.0,51,Host,session_20251207_215648_H_4193.csv
20251207_223649,H_4193,2,52.48,69.7,62.7,0.0,55.0,13,Host,session_20251207_223649_H_4193.csv
20251208_121204,H_4193,1,52.48,69.3,55.4,0.0,42.0,64,Host,session_20251208_121204_H_4193.csv
20251208_002333,H_4193,2,52.51,54.9,89.6,0.0,43.0,59,Client,session_20251208_002333_H_4193.csv
20251208_121556,H_4193,1,52.6,51.5,77.6,0.0,45.0,60,Host,session_20251208_121556_H_4193.csv
20251209_143750,H_4193,2,52.63,72.5,152.5,0.0,40.0,82,Client,session_20251209_143750_H_4193.csv
20251208_000702,H_4193,2,52.64,64.8,77.7,0.0,45.0,57,Client,session_20251208_000702_H_4193.csv
20251208_140440,H_4193,1,52.69,46.6,63.4,0.0,37.0,73,Host,session_20251208_140440_H_4193.csv
20251209_003711,H_4193,0,52.83,33.3,0.0,0.0,35.0,100,Offline,session_20251209_003711_H_4193.csv
20251208_103057,H_4193,2,52.84,35.3,87.0,0.0,35.0,100,Client,session_20251208_103057_H_4193.csv
20251208_004716,H_4193,2,52.85,47.4,82.9,0.0,43.0,60,Client,session_20251208_004716_H_4193.csv
20251209_004435,H_4193,0,52.85,34.6,0.0,0.0,45.0,99,Offline,session_20251209_004435_H_4193.csv
20251208_105026,H_4193,2,52.89,35.3,54.5,0.0,48.0,94,Host,session_20251208_105026_H_4193.csv
20251208_103907,H_4193,2,52.92,44.6,89.2,0.0,37.0,100,Client,session_20251208_103907_H_4193.csv
20251208_110401,H_4193,1,52.95,33.3,92.4,0.0,51.0,84,Host,session_20251208_110401_H_4193.csv
20251208_014720,H_4193,1,52.96,24.0,85.1,0.0,46.0,62,Host,session_20251208_014720_H_4193.csv
20251208_015029,H_4193,1,53.03,24.0,110.8,0.0,50.0,59,Host,session_20251208_015029_H_4193.csv
20251208_010002,H_4193,2,53.13,24.0,78.3,0.0,43.0,61,Client,session_20251208_010002_H_4193.csv
20251207_221239,H_4193,2,53.36,72.2,41.8,0.0,51.0,36,Host,session_20251207_221239_H_4193.csv
20251208_104152,H_4193,1,53.4,33.0,64.6,0.0,44.0,100,Host,session_20251208_104152_H_4193.csv
20251207_213615,H_4193,1,53.45,69.3,41.1,0.0,37.0,66,Host,session_20251207_213615_H_4193.csv
20251207_222644,H_4193,2,53.46,72.9,69.4,0.0,53.0,23,Host,session_20251207_222644_H_4193.csv
20251207_215648,H_4193,2,53.48,71.3,40.3,0.0,50.0,51,Host,session_20251207_215648_H_4193.csv
20251207_223649,H_4193,2,53.48,70.9,55.2,0.0,55.0,13,Host,session_20251207_223649_H_4193.csv
20251208_121204,H_4193,1,53.49,69.8,67.8,0.0,42.0,64,Host,session_20251208_121204_H_4193.csv
20251208_002333,H_4193,2,53.51,55.0,72.9,0.0,44.0,59,Client,session_20251208_002333_H_4193.csv
20251208_121556,H_4193,1,53.6,51.1,56.6,0.0,45.0,60,Host,session_20251208_121556_H_4193.csv
20251209_143750,H_4193,2,53.63,73.0,55.8,0.0,40.0,82,Client,session_20251209_143750_H_4193.csv
20251208_000702,H_4193,2,53.64,64.9,45.2,0.0,45.0,57,Client,session_20251208_000702_H_4193.csv
20251208_140440,H_4193,1,53.7,48.8,59.3,0.0,37.0,73,Host,session_20251208_140440_H_4193.csv
20251209_003711,H_4193,0,53.84,34.0,0.0,0.0,35.0,100,Offline,session_20251209_003711_H_4193.csv
20251208_004716,H_4193,2,53.85,36.0,82.8,0.0,43.0,60,Client,session_20251208_004716_H_4193.csv
20251208_103057,H_4193,2,53.85,34.2,168.4,0.0,35.0,100,Client,session_20251208_103057_H_4193.csv
20251209_004435,H_4193,0,53.87,33.2,0.0,0.0,45.0,99,Offline,session_20251209_004435_H_4193.csv
20251208_105026,H_4193,2,53.9,35.6,77.2,0.0,48.0,94,Host,session_20251208_105026_H_4193.csv
20251208_103907,H_4193,2,53.94,44.2,66.9,0.0,38.0,100,Client,session_20251208_103907_H_4193.csv
20251208_110401,H_4193,1,53.95,35.0,52.0,0.0,51.0,84,Host,session_20251208_110401_H_4193.csv
20251208_014720,H_4193,1,54.0,24.2,84.3,0.0,46.0,62,Host,session_20251208_014720_H_4193.csv
20251208_015029,H_4193,1,54.07,26.7,84.7,0.0,50.0,59,Host,session_20251208_015029_H_4193.csv
20251208_010002,H_4193,2,54.13,24.1,80.0,0.0,43.0,61,Client,session_20251208_010002_H_4193.csv
20251207_221239,H_4193,2,54.36,72.2,41.7,0.0,51.0,36,Host,session_20251207_221239_H_4193.csv
20251208_104152,H_4193,1,54.42,30.5,65.1,0.0,44.0,100,Host,session_20251208_104152_H_4193.csv
20251207_213615,H_4193,2,54.45,72.3,41.4,0.0,37.0,66,Host,session_20251207_213615_H_4193.csv
20251207_222644,H_4193,2,54.47,72.3,55.4,0.0,53.0,23,Host,session_20251207_222644_H_4193.csv
20251207_215648,H_4193,2,54.49,69.5,43.0,0.0,50.0,51,Host,session_20251207_215648_H_4193.csv
20251207_223649,H_4193,2,54.5,70.9,69.7,0.0,55.0,13,Host,session_20251207_223649_H_4193.csv
20251208_121204,H_4193,1,54.5,70.7,70.5,0.0,42.0,64,Host,session_20251208_121204_H_4193.csv
20251208_002333,H_4193,2,54.52,55.1,72.9,0.0,44.0,59,Client,session_20251208_002333_H_4193.csv
20251208_121556,H_4193,1,54.61,51.4,58.7,0.0,45.0,60,Host,session_20251208_121556_H_4193.csv
20251209_143750,H_4193,2,54.63,73.1,55.0,0.0,40.0,82,Client,session_20251209_143750_H_4193.csv
20251208_000702,H_4193,2,54.65,66.9,89.6,0.0,45.0,57,Client,session_20251208_000702_H_4193.csv
20251208_140440,H_4193,1,54.7,49.1,59.9,0.0,37.0,73,Host,session_20251208_140440_H_4193.csv
20251209_003711,H_4193,0,54.85,34.2,0.0,0.0,35.0,100,Offline,session_20251209_003711_H_4193.csv
20251208_004716,H_4193,2,54.87,32.7,81.6,0.0,43.0,60,Client,session_20251208_004716_H_4193.csv
20251208_103057,H_4193,2,54.88,32.6,95.5,0.0,35.0,100,Client,session_20251208_103057_H_4193.csv
20251209_004435,H_4193,0,54.9,33.5,0.0,0.0,45.0,99,Offline,session_20251209_004435_H_4193.csv
20251208_105026,H_4193,2,54.91,35.6,82.5,0.0,48.0,94,Host,session_20251208_105026_H_4193.csv
20251208_103907,H_4193,2,54.95,44.3,113.1,0.0,38.0,100,Client,session_20251208_103907_H_4193.csv
